#: table_doi: 10.17182/hepdata.144760.v1/t1
#: name: SI cross section
#: description: 90% CL WIMP SI cross sections, including sensitivities
#: data_file: Fig5_SI_limit_and_sensitivity.yaml
#: keyword reactions: chi N-> chi N
#: keyword observables: WIMP-nucleon cross section
#: keyword phrases: WIMP | spin-independent
mass,pc_limit
1710.0,1.84231e-46
2000.0,2.17678e-46
5000.0,5.61062e-46
10000.0,1.09212e-45

mass,median
9.0,4.9756e-46
11.0,1.60109e-46
13.0,7.91021e-47
16.0,4.33438e-47
17.0,3.71249e-47
19.0,3.02785e-47
21.0,2.5272e-47
23.0,2.30312e-47
26.0,2.13612e-47
29.0,1.96106e-47
30.0,1.9479e-47
32.0,1.87928e-47
36.0,1.87529e-47
40.0,1.8715e-47
43.0,1.8613e-47
46.0,1.89429e-47
55.0,2.01738e-47
65.0,2.18061e-47
78.0,2.4229e-47
91.0,2.65247e-47
110.0,3.05142e-47
129.0,3.50995e-47
155.0,4.12107e-47
182.0,4.62217e-47
219.0,5.55323e-47
256.0,6.35311e-47
308.0,7.58051e-47
361.0,8.91867e-47
434.0,1.06176e-46
508.0,1.24386e-46
612.0,1.48338e-46
716.0,1.74104e-46
862.0,2.09529e-46
1008.0,2.45655e-46
1214.0,2.92816e-46
1420.0,3.40424e-46
1710.0,4.12606e-46
2000.0,4.82386e-46
5000.0,1.20299e-45
10000.0,2.38246e-45

mass,+1sigma
9.0,9.51979e-46
11.0,3.01362e-46
13.0,1.49659e-46
16.0,8.06485e-47
17.0,6.95047e-47
19.0,5.46711e-47
21.0,4.6809e-47
23.0,4.19508e-47
26.0,3.8291e-47
29.0,3.54907e-47
30.0,3.47661e-47
32.0,3.37173e-47
36.0,3.35356e-47
40.0,3.34827e-47
43.0,3.40456e-47
46.0,3.42169e-47
55.0,3.59796e-47
65.0,3.9077e-47
78.0,4.34868e-47
91.0,4.77092e-47
110.0,5.54494e-47
129.0,6.39448e-47
155.0,7.33375e-47
182.0,8.4304e-47
219.0,1.00636e-46
256.0,1.18463e-46
308.0,1.35397e-46
361.0,1.60167e-46
434.0,1.92706e-46
508.0,2.26798e-46
612.0,2.68071e-46
716.0,3.14314e-46
862.0,3.75627e-46
1008.0,4.40344e-46
1214.0,5.23747e-46
1420.0,6.1722e-46
1710.0,7.40384e-46
2000.0,8.59393e-46
5000.0,2.17949e-45
10000.0,4.31674e-45

mass,+2sigma
9.0,1.42783e-45
11.0,4.59183e-46
13.0,2.31257e-46
16.0,1.21679e-46
17.0,1.03232e-46
19.0,8.4557e-47
21.0,7.1833e-47
23.0,6.49984e-47
26.0,5.81398e-47
29.0,5.47182e-47
30.0,5.41221e-47
32.0,5.28691e-47
36.0,5.19788e-47
40.0,5.13603e-47
43.0,5.15402e-47
46.0,5.28328e-47
55.0,5.47968e-47
65.0,5.88966e-47
78.0,6.70775e-47
91.0,7.27199e-47
110.0,8.46294e-47
129.0,9.74352e-47
155.0,1.12975e-46
182.0,1.29984e-46
219.0,1.51905e-46
256.0,1.80526e-46
308.0,2.11144e-46
361.0,2.44711e-46
434.0,2.96366e-46
508.0,3.47726e-46
612.0,4.09581e-46
716.0,4.75253e-46
862.0,5.66635e-46
1008.0,6.67729e-46
1214.0,7.99455e-46
1420.0,9.37888e-46
1710.0,1.14271e-45
2000.0,1.32428e-45
5000.0,3.31192e-45
10000.0,6.57391e-45

