masses,Portal_Coupling,sigma_SI_n,sigma_halo_cm3,BR
45.0,0.18152486824596853,3.5466792255229007e-16,2.2085454665390987e-23,0.03558176669190331
45.25252525252525,0.17909529523835935,3.4147312746994276e-16,2.1867682225871844e-23,0.0367318156376492
45.505050505050505,0.1766054601407788,3.284436859144643e-16,2.1643184232612022e-23,0.037959881837535875
45.75757575757576,0.1740897150788225,3.157105228183946e-16,2.1420011682467696e-23,0.03925776212083379
46.01010101010101,0.17154263300487305,3.0325120637650413e-16,2.1296261900207927e-23,0.040633142663560926
46.26262626262626,0.16894265938362865,2.909897825126449e-16,2.1066613143609636e-23,0.04210238876243528
46.515151515151516,0.16629340911862678,2.7894251659510283e-16,2.0831417657129862e-23,0.0436719542968418
46.76767676767677,0.1635598496406081,2.669981160342001e-16,2.058144332880262e-23,0.04536929209075536
47.02020202020202,0.16076935183510085,2.552559065868207e-16,2.032305921910736e-23,0.04719211442528746
47.27272727272727,0.15787360871397435,2.4357175165516016e-16,2.0043525196369555e-23,0.04918109196791555
47.525252525252526,0.15490795963421874,2.320693103932595e-16,1.9751207097923504e-23,0.05133277841282276
47.77777777777778,0.15180242368775243,2.2055333791278764e-16,1.9428009284194953e-23,0.05371129074032588
48.03030303030303,0.1485433467224097,2.090123508298038e-16,1.9069866115932786e-23,0.05635552587746997
48.282828282828284,0.1450997822039866,1.9739287715974264e-16,1.8667981649979416e-23,0.05932556472454658
48.535353535353536,0.1414459224780002,1.8566673382914677e-16,1.8214898296429858e-23,0.06269140893198077
48.78787878787879,0.13753253128069706,1.7375688034066308e-16,1.7697257346564332e-23,0.06656141480548852
49.04040404040404,0.13331156008508566,1.616095661900687e-16,1.71023357031581e-23,0.07107361842310443
49.292929292929294,0.12869799212082755,1.491068048371144e-16,1.6408638501317752e-23,0.0764489678747174
49.54545454545455,0.12362756580619524,1.3621627110947738e-16,1.560137954810839e-23,0.082962454173678
49.7979797979798,0.1179524579571733,1.2276611249790694e-16,1.464718941099672e-23,0.09111183165140495
50.05050505050505,0.11163201293179703,1.0887538487253636e-16,1.3543822398896142e-23,0.10145625825381126
50.303030303030305,0.10446627115435347,9.440899182503338e-17,1.225629776421633e-23,0.1151261893269957
50.55555555555556,0.09620109870029163,7.927774973326958e-17,1.07509570255536e-23,0.1340851338085742
50.80808080808081,0.08681429634187213,6.393294553632051e-17,9.065865758395078e-24,0.16104235547892282
51.06060606060606,0.07625155905109245,4.88440109151252e-17,7.250163603333375e-24,0.20079802409049594
51.313131313131315,0.0647383737861052,3.486820327926733e-17,5.3922072223590164e-24,0.2603802864132744
51.56565656565657,0.05333850815738039,2.3442296086663214e-17,3.8033122377720235e-24,0.34380231780843573
51.81818181818182,0.04345493855251563,1.5410942864260557e-17,2.6263775262036236e-24,0.44372537858380323
52.07070707070707,0.035517036252360704,1.019710237649783e-17,1.827850834437693e-24,0.5468906866916916
52.323232323232325,0.029468994702870187,6.953542400711508e-18,1.312822675709479e-24,0.6393400529935775
52.57575757575758,0.02477637114415145,4.8690306656566715e-18,9.696354200225808e-25,0.7172253276924956
52.82828282828283,0.02106198293980765,3.485592525997759e-18,7.2870247072728525e-25,0.7802704723377374
53.08080808080808,0.018084601157443387,2.5458107781266285e-18,5.630384630791403e-25,0.8297786599898707
53.333333333333336,0.015644417247341967,1.8874530615180073e-18,4.423145344345754e-25,0.868333723035446
53.58585858585859,0.01359045981327408,1.4112163978522155e-18,3.5102457712524686e-25,0.8984869095304856
53.83838383838384,0.011863087683902878,1.0653869132225168e-18,2.799803846086211e-25,0.9216889191709609
54.09090909090909,0.010395315425052662,8.1057320606686e-19,2.2692913295669614e-25,0.9395287840299084
54.343434343434346,0.009124445286487367,6.188040636724676e-19,1.849329043085612e-25,0.9533802531182748
54.5959595959596,0.008036531306273811,4.756844268685124e-19,1.5107967110990635e-25,0.9639579486427273
54.84848484848485,0.0070862326752837886,3.6649821604925615e-19,1.2480158847594609e-25,0.9721587836508258
55.101010101010104,0.0062650666457456676,2.8390277186021145e-19,1.039054053954089e-25,0.9784336122989116
55.35353535353536,0.005542573110725166,2.2020944069938714e-19,8.625643385110501e-26,0.9833070248190806
55.60606060606061,0.004913373094623722,1.715081921898077e-19,7.258297017412501e-26,0.9870496217806725
55.85858585858586,0.0043599746160881475,1.3385140588944167e-19,6.138197739312428e-26,0.9899482342848873
56.111111111111114,0.0038737003285658836,1.0472584154773577e-19,5.184019415144245e-26,0.9921894668185005
56.36363636363637,0.0034448096626446224,8.209110466911192e-20,4.4316120277523323e-26,0.9939275882453774
56.61616161616162,0.0030652183277530424,6.44271847460807e-20,3.80682214580687e-26,0.9952790612632921
56.86868686868687,0.0027250565161600284,5.0477142775438666e-20,3.253812050391837e-26,0.9963405474460708
57.121212121212125,0.0024233523828268194,3.957226062768236e-20,2.814589982358384e-26,0.9971651427193887
57.37373737373737,0.0021588048786455004,3.113256599223524e-20,2.454539469231202e-26,0.9977990420357105
57.62626262626263,0.001922535954871502,2.4478442476351346e-20,2.1342450094034322e-26,0.9982944993373516
57.878787878787875,0.001715405605331973,1.9321077480239778e-20,1.8870473673795436e-26,0.9986752218675049
58.131313131313135,0.0015311727211465304,1.526247346948843e-20,1.6675158970055616e-26,0.9989717359172036
58.38383838383838,0.001367377953946054,1.2068365080327935e-20,1.4961134360048376e-26,0.9992024533077037
58.63636363636364,0.0012235646558625126,9.581546577144259e-21,1.3477675071911937e-26,0.9993800580091683
58.888888888888886,0.0010945905559113344,7.603459614475177e-21,1.2332188487759435e-26,0.9995193620722815
59.141414141414145,0.0009793496310552038,6.035662321291571e-21,1.1397924367004594e-26,0.9996281347248999
